ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly,category_id
2024-08-23,278.39337066215757,7.136346464734611,596.7601561329948,356.7168637760307,0.16011216472164685,-0.3595142118663685,23
2024-09-03,271.21013873043125,0.0,568.3238928591111,356.60475981070476,0.022282717873284986,-0.24877737653701665,23
2024-09-23,346.0705960873421,34.41294253158293,626.419839764404,356.4009344192029,-0.11472482957696145,0.0516208407683083,23
2024-10-01,278.8667670555824,0.0,564.311588098085,356.3194042626022,0.02228271787377925,-0.1476519344209668,23
2024-10-03,262.2196552069722,0.0,542.3879074475119,356.299021723452,0.027175565999529746,-0.1931839458116039,23
2024-10-07,193.1288197810668,0.0,473.9643321027777,356.2582566451516,-0.1147248295768658,-0.24716037292696932,23
2024-10-17,340.84434262094084,54.52051631102254,657.1060546013427,356.15634394940065,0.027175566000226536,-0.13497375111178345,23
2024-10-18,401.80995924747054,101.09737277420336,687.9459377156252,356.1461526798256,0.16011216472142786,-0.11248093898293315,23
2024-10-21,319.8645261459176,33.15083525692824,616.9079825443088,356.1155788711003,-0.11472482957709462,-0.04716596479250766,23
2024-10-22,365.80307506312914,86.67949196111896,661.9527808728071,356.1053876015252,0.022282717873469433,-0.027746960683401347,23
2024-11-03,444.31811803913365,138.65090192267186,751.3071978765468,355.9830923666241,0.12681323268321812,0.02932444208292413,23
2024-11-09,344.1591319947572,59.708334930376054,641.3242413855846,355.9219447491736,-0.09876003067878511,-0.012173016890114893,23
2024-11-15,380.7079583581373,51.84361522009222,703.9531572667712,355.860797131723,0.16011216472140277,-0.030103088340870745,23
2024-12-01,387.72540927870426,114.03040240239673,677.2566732423717,355.6977368185215,0.1268132326832936,-0.10802881824058749,23
2024-12-04,248.81723622081464,0.0,558.3286981839768,355.66716300979624,-0.12289882102150994,-0.13456118642543846,23
2024-12-15,448.9303775546683,160.12726261699552,739.7649085522884,355.5550590444702,0.12681323268326303,0.048018611158759564,23
2024-12-28,611.2085031677584,326.5834262924113,884.2875701856016,355.42257253999406,-0.09876003067866004,0.8158316787185729,23
2024-12-29,735.2499607610961,434.6121819527627,1040.2968730058417,355.4123812704189,0.1268132326832325,0.8567086450643764,23
